Company,TypeName,Ram,Gpu,OpSys,Weight,Price,IPS,Touchscreen,4k,PPI,cpu_brand,HDD,SSD
ACER,Notebook,4,Nvidia,Windows,2.2,28238.4,No,No,No,141.21199808219862,Intel Core i3,10,0
HP,Notebook,8,Nvidia,Windows,2.5,52054.56,No,No,No,127.33567457123111,Intel Core i5,10,128
DELL,Ultrabook,8,Intel,Windows,1.88,58403.4048,Yes,No,No,141.21199808219862,Intel Core i5,0,256
APPLE,Ultrabook,8,Intel,Others,0.92,80452.8,Yes,No,No,226.41554716935852,Intel Core i5,0,512
HP,Notebook,8,Intel,Windows,1.63,45820.8,No,No,No,157.3505121487356,Intel Core i5,0,256
LENOVO,Notebook,4,AMD,Windows,2.2,21258.72,No,No,No,141.21199808219862,AMD,0,128
ACER,Notebook,4,AMD,Windows,2.1,21045.6,No,No,No,100.45466986113651,AMD,10,0
DELL,Gaming,16,Nvidia,Windows,2.65,71874.72,Yes,No,No,141.21199808219862,Intel Core i7,10,128
HP,Ultrabook,8,Nvidia,Windows,1.83,37242.72,Yes,No,No,141.21199808219862,Intel Core i7,0,256
HP,Notebook,8,Intel,Windows,1.96,31914.1872,No,No,No,141.21199808219862,Intel Core i5,0,256
ASUS,Gaming,16,Nvidia,Windows,2.2,77202.72,Yes,No,No,141.21199808219862,Intel Core i7,10,128
DELL,Ultrabook,8,Intel,Windows,1.21,87858.72,Yes,No,No,165.6321180513006,Intel Core i7,0,256
ASUS,Gaming,8,AMD,Windows,2.45,37242.72,No,No,No,141.21199808219862,AMD,10,0
ACER,Notebook,8,Nvidia,Windows,2.2,36709.92,No,No,No,141.21199808219862,Intel Core i7,10,0
HP,Notebook,16,Intel,Windows,1.49,63776.16,No,No,No,165.6321180513006,Intel Core i7,0,512
DELL,Gaming,8,Nvidia,Windows,2.65,63669.6,No,No,No,141.21199808219862,Intel Core i5,0,256
ASUS,Ultrabook,8,Intel,Windows,1.25,55890.72,No,No,No,157.3505121487356,Intel Core i7,0,256
ACER,2 in 1 Convertible,8,Intel,Windows,1.5,45128.16,Yes,Yes,No,165.6321180513006,Intel Core i5,0,256
DELL,Notebook,8,AMD,Linux,2.2,31962.672,No,No,No,141.21199808219862,Intel Core i7,10,0
DELL,Notebook,4,AMD,Linux,2.2,25840.8,No,No,No,141.21199808219862,Intel Core i3,0,256
ASUS,Notebook,6,Nvidia,Windows,2.0,30742.56,No,No,No,141.21199808219862,Intel Core i3,0,256
HP,Gaming,12,Nvidia,Windows,2.62,66546.72,Yes,No,No,141.21199808219862,Intel Core i7,10,128
HP,Notebook,8,AMD,Windows,1.91,38308.32,No,No,No,141.21199808219862,Intel Core i7,0,256
HP,Notebook,4,AMD,Windows,2.1,18594.72,No,No,No,141.21199808219862,AMD,500,0
DELL,Notebook,8,AMD,Linux,2.2,34472.16,No,No,No,141.21199808219862,Intel Core i5,10,0
HP,Ultrabook,8,Nvidia,Windows,1.38,59620.32,Yes,No,No,165.6321180513006,Intel Core i7,0,256
MICROSOFT,Ultrabook,8,Intel,Windows,1.252,71395.2,No,Yes,No,200.84255993695703,Intel Core i5,0,256
HP,Notebook,6,Nvidia,Windows,1.58,35111.52,Yes,No,No,157.3505121487356,Intel Core i5,0,256
LENOVO,Notebook,4,Intel,Windows,1.85,22105.872,No,No,No,141.21199808219862,Intel Core i3,10,0
ASUS,Ultrabook,8,Nvidia,Windows,1.3,63563.04,Yes,No,No,157.3505121487356,Intel Core i7,0,256
MSI,Gaming,16,Nvidia,Windows,2.2,69210.72,No,No,No,141.21199808219862,Intel Core i7,10,256
LENOVO,Notebook,8,Intel,Windows,1.58,78854.4,Yes,No,No,157.3505121487356,Intel Core i7,0,256
ASUS,Ultrabook,16,Nvidia,Windows,1.5,67239.36,No,No,No,141.21199808219862,Intel Core i7,10,256
DELL,Ultrabook,8,Intel,Windows,1.23,73473.12,No,Yes,No,276.053530085501,Intel Core i7,0,256
LENOVO,2 in 1 Convertible,8,Intel,Windows,1.37,74538.72,Yes,Yes,No,165.6321180513006,Intel Core i5,0,256
HP,Notebook,4,Intel,Windows,1.63,38468.16,Yes,No,No,111.93520355955211,Intel Core i5,500,0
DELL,Ultrabook,8,Intel,Windows,1.21,86793.12,Yes,No,No,165.6321180513006,Intel Core i5,0,256
HP,2 in 1 Convertible,8,Intel,Windows,1.26,74538.1872,Yes,Yes,No,165.6321180513006,Intel Core i5,0,256
HP,Notebook,8,Intel,Windows,1.63,57755.52,No,No,No,157.3505121487356,Intel Core i7,0,512
DELL,Notebook,8,Nvidia,Windows,2.16,60223.98239999999,Yes,No,No,141.21199808219862,Intel Core i7,10,256
ASUS,Notebook,4,Nvidia,Windows,2.0,30049.92,No,No,No,127.33567457123111,Intel Core i3,10,0
ASUS,Notebook,8,Nvidia,Windows,1.7,59567.04,No,No,No,141.21199808219862,Intel Core i7,0,256
ACER,Notebook,6,Intel,Windows,2.1,25521.12,Yes,Yes,No,141.21199808219862,Intel Core i3,10,0
MSI,Gaming,16,Nvidia,Windows,1.8,119427.12,No,No,No,141.21199808219862,Intel Core i7,2000,256
LENOVO,Notebook,8,Nvidia,No OS,2.2,33513.119999999995,No,No,No,141.21199808219862,Intel Core i5,0,256
HP,Notebook,16,Nvidia,Windows,2.5,67718.88,No,No,No,127.33567457123111,Intel Core i7,0,512
ACER,Notebook,4,AMD,Windows,2.1,24029.28,No,No,No,100.45466986113651,AMD,0,256
HP,Notebook,4,Intel,No OS,1.86,13799.52,No,No,No,100.45466986113651,Intel Celeron,500,0
HP,Notebook,8,Intel,Windows,1.63,43263.36,No,No,No,157.3505121487356,Intel Core i5,10,0
ASUS,Notebook,4,AMD,Windows,1.65,14811.3072,No,No,No,111.93520355955211,AMD,0,64
DELL,Notebook,16,AMD,Windows,2.8,74378.87999999999,No,No,No,127.33567457123111,Intel Core i7,2000,256
HP,Notebook,8,Intel,Windows,2.5,49443.84,No,No,No,127.33567457123111,Intel Core i5,0,256
DELL,Notebook,8,AMD,Windows,2.36,34045.3872,No,No,No,100.45466986113651,Intel Core i5,10,0
DELL,Notebook,4,AMD,Windows,2.2,23922.72,No,No,No,141.21199808219862,Intel Core i3,10,0
ACER,Ultrabook,8,Intel,Windows,1.6,47099.52,Yes,No,No,157.3505121487356,Intel Core i7,0,256
ACER,Notebook,4,Nvidia,Windows,2.2,30476.16,No,No,No,141.21199808219862,Intel Core i3,0,256
HP,Notebook,8,Intel,Windows,2.05,31861.44,No,No,No,100.45466986113651,Intel Core i7,10,0
HP,Notebook,8,Intel,Windows,1.63,52640.64,No,No,No,157.3505121487356,Intel Core i7,0,256
LENOVO,Notebook,4,Intel,No OS,1.9,13445.7408,No,No,No,100.45466986113651,Intel Celeron,10,0
ASUS,Gaming,8,Nvidia,Windows,3.0,49976.64,No,No,No,127.33567457123111,Intel Core i5,10,128
LENOVO,Notebook,4,Nvidia,No OS,2.2,26586.72,No,No,No,141.21199808219862,Intel Core i5,10,0
HP,Notebook,4,Intel,Windows,1.32,37242.72,Yes,No,No,165.6321180513006,Intel Core i5,0,256
ACER,Notebook,4,Nvidia,Windows,3.0,34898.4,Yes,No,No,127.33567457123111,Intel Core i3,10,0
LENOVO,Notebook,8,AMD,Windows,1.75,59461.5456,Yes,No,No,157.3505121487356,Intel Core i5,0,256
LENOVO,Gaming,8,Nvidia,No OS,2.4,46300.32,Yes,No,No,141.21199808219862,Intel Core i7,0,256
TOSHIBA,Notebook,4,Intel,Windows,2.1,32074.56,No,No,No,100.45466986113651,Intel Core i5,500,0
HP,Notebook,4,AMD,Windows,1.86,19660.32,No,No,No,100.45466986113651,AMD,0,256
ASUS,Ultrabook,8,Intel,Windows,1.25,58554.72,No,No,No,157.3505121487356,Intel Core i7,0,256
HP,Ultrabook,8,Intel,Windows,0.97,107305.92,Yes,Yes,Yes,352.4651472131677,Others,0,512
ASUS,Notebook,4,Intel,Windows,2.0,18328.32,No,No,No,141.21199808219862,Intel Celeron,10,0
MSI,Gaming,16,Nvidia,Windows,2.9,108105.12,No,No,No,127.33567457123111,Intel Core i7,10,256
ACER,Notebook,4,Intel,Windows,2.1,23816.16,No,No,No,100.45466986113651,Intel Core i3,10,0
DELL,Gaming,16,Nvidia,Windows,2.56,66560.5728,No,No,No,141.21199808219862,Intel Core i7,0,512
DELL,Gaming,8,Nvidia,Windows,2.62,47898.72,No,No,No,141.21199808219862,Intel Core i7,0,0
LENOVO,Notebook,4,Intel,Windows,1.9,26533.44,No,No,No,100.45466986113651,Intel Core i5,0,128
MSI,Gaming,16,Nvidia,Windows,2.8,100699.2,No,No,No,127.33567457123111,Intel Core i7,10,256
HP,Ultrabook,4,Intel,Windows,1.48,57648.96,No,No,No,157.3505121487356,Intel Core i5,0,256
HP,Notebook,6,AMD,Windows,1.91,32980.32,No,No,No,141.21199808219862,Intel Core i5,0,256
LENOVO,2 in 1 Convertible,4,Intel,Windows,1.74,33513.119999999995,Yes,Yes,No,157.3505121487356,Intel Core i3,0,256
ASUS,2 in 1 Convertible,8,Intel,Windows,1.1,70063.2,No,Yes,No,165.6321180513006,Intel Core i5,0,256
DELL,2 in 1 Convertible,8,Intel,Windows,1.56,55890.72,No,Yes,No,141.21199808219862,Intel Core i7,0,256
TOSHIBA,Notebook,4,Intel,Windows,2.1,23816.16,No,No,No,100.45466986113651,Intel Core i3,500,0
ASUS,Notebook,4,AMD,Windows,2.03,21471.84,No,No,No,100.45466986113651,AMD,10,0
ACER,Notebook,4,Nvidia,Windows,3.0,42890.4,Yes,No,No,127.33567457123111,Intel Core i5,0,256
DELL,Notebook,8,AMD,Windows,2.13,38787.84,No,No,No,141.21199808219862,Intel Core i5,0,256
LENOVO,Gaming,16,Nvidia,Windows,2.5,57489.12,Yes,No,No,141.21199808219862,Intel Core i7,0,256
ACER,Notebook,4,Intel,Windows,2.1,18541.44,No,No,No,100.45466986113651,Intel Celeron,10,0
MSI,Gaming,16,Nvidia,Windows,2.4,95850.72,Yes,No,No,141.21199808219862,Intel Core i7,10,256
ACER,Notebook,4,Intel,Windows,2.1,19367.8128,No,No,No,100.45466986113651,Others,10,0
DELL,Gaming,8,Nvidia,Windows,2.56,56502.9072,No,No,No,141.21199808219862,Intel Core i7,10,128
ACER,Notebook,8,Nvidia,Windows,3.0,45501.12,Yes,No,No,127.33567457123111,Intel Core i5,0,256
HP,Notebook,4,Intel,Windows,1.49,40173.12,Yes,No,No,165.6321180513006,Intel Core i5,500,0
HUAWEI,Ultrabook,8,Intel,Windows,1.05,71874.72,Yes,No,No,199.69207064108247,Intel Core i5,0,256
HP,Notebook,6,AMD,Windows,2.71,37242.72,Yes,No,No,127.33567457123111,Intel Core i5,2000,0
LENOVO,Notebook,4,AMD,No OS,2.2,16463.52,No,No,No,100.45466986113651,AMD,500,0
TOSHIBA,Notebook,4,Intel,Windows,2.0,26053.92,No,No,No,100.45466986113651,Intel Core i3,500,0
HP,Notebook,8,Nvidia,Windows,2.5,49177.44,No,No,No,127.33567457123111,Intel Core i5,0,256
DELL,Notebook,8,Intel,Windows,2.3,24455.52,No,No,No,100.45466986113651,Intel Core i3,10,0
ACER,Notebook,4,Intel,Windows,2.1,23922.72,No,No,No,100.45466986113651,Intel Core i3,0,128
MSI,Gaming,32,Nvidia,Windows,4.4,149130.72,No,No,No,119.7232157653423,Intel Core i7,10,512
LENOVO,Notebook,8,AMD,Windows,1.9,43316.64,No,No,No,141.21199808219862,Intel Core i5,10,128
HP,2 in 1 Convertible,8,Intel,Windows,1.29,79866.72,Yes,Yes,Yes,331.2642361026012,Intel Core i5,0,256
DELL,Notebook,16,AMD,Linux,2.02,55890.72,No,No,No,141.21199808219862,Intel Core i7,2000,256
DELL,Ultrabook,8,Intel,Windows,1.23,74538.72,No,No,No,165.6321180513006,Intel Core i5,0,256
LENOVO,2 in 1 Convertible,16,Intel,Windows,1.4,98514.72,Yes,Yes,Yes,316.96506044349616,Intel Core i7,0,512
TOSHIBA,Notebook,8,Intel,Windows,2.0,42251.04,No,No,No,100.45466986113651,Intel Core i5,0,128
XIAOMI,Notebook,8,Nvidia,No OS,1.95,63882.72,Yes,No,No,141.21199808219862,Intel Core i5,0,256
DELL,Notebook,16,Nvidia,Windows,2.77,82530.72,No,Yes,No,127.33567457123111,Intel Core i7,0,512
DELL,Notebook,16,Nvidia,Windows,2.06,127712.16,No,Yes,Yes,282.42399616439724,Intel Core i7,0,512
LENOVO,Gaming,8,Nvidia,No OS,2.4,41505.12,Yes,No,No,141.21199808219862,Intel Core i5,0,256
ACER,Ultrabook,8,Intel,Windows,1.12,52693.92,Yes,No,No,165.6321180513006,Intel Core i5,0,256
DELL,Notebook,8,AMD,Windows,2.8,57808.8,No,No,No,127.33567457123111,Intel Core i7,10,128
LENOVO,2 in 1 Convertible,16,Intel,Windows,1.42,150462.72,No,Yes,No,209.8006828649808,Intel Core i7,0,10
VERO,Notebook,4,Intel,Windows,1.3,13852.8,Yes,No,No,157.3505121487356,Intel Celeron,0,0
XIAOMI,Ultrabook,8,Nvidia,No OS,1.3,53274.67199999999,Yes,No,No,165.6321180513006,Intel Core i5,0,256
LENOVO,Notebook,8,Nvidia,No OS,2.8,37189.44,No,No,No,106.11306214269258,Intel Core i5,0,256
DELL,2 in 1 Convertible,8,Intel,Windows,1.62,44701.92,Yes,Yes,No,165.6321180513006,Intel Core i7,10,0
HP,Notebook,8,Nvidia,Windows,2.5,48697.92,Yes,No,No,127.33567457123111,Intel Core i5,10,0
RAZER,Gaming,32,Nvidia,Windows,3.49,324954.72,No,Yes,Yes,254.67134914246222,Intel Core i7,0,10
HP,Notebook,8,Intel,Windows,1.49,51095.52,No,No,No,165.6321180513006,Intel Core i5,0,512
HP,Gaming,16,Nvidia,Windows,3.35,73473.12,Yes,No,No,127.33567457123111,Intel Core i7,10,256
HP,Notebook,8,Nvidia,Windows,2.5,55677.6,No,No,No,127.33567457123111,Intel Core i7,0,256
DELL,Gaming,16,Nvidia,Windows,2.65,98301.6,Yes,No,Yes,282.42399616439724,Intel Core i7,10,512
LENOVO,Notebook,4,Intel,Windows,2.1,26267.04,No,No,No,100.45466986113651,Intel Core i5,0,128
ACER,Notebook,8,Nvidia,Windows,2.23,39533.76,No,No,No,141.21199808219862,Intel Core i7,10,0
LENOVO,Gaming,16,Nvidia,Windows,3.2,93186.72,Yes,No,No,141.21199808219862,Intel Core i7,10,512
DELL,Workstation,16,Nvidia,Windows,2.8,162770.4,No,No,Yes,282.42399616439724,Others,10,256
LENOVO,Gaming,16,Nvidia,No OS,2.4,74485.44,No,No,No,141.21199808219862,Intel Core i7,0,512
DELL,Notebook,6,Intel,Windows,2.3,23389.92,No,Yes,No,100.45466986113651,Intel Core i3,10,0
DELL,Ultrabook,8,Intel,Windows,1.21,103842.72,Yes,Yes,Yes,331.2642361026012,Intel Core i7,0,256
DELL,Ultrabook,8,Intel,Windows,1.2,77202.72,No,No,No,165.6321180513006,Intel Core i7,0,256
LENOVO,Notebook,8,Intel,Windows,2.2,31808.16,No,No,No,100.45466986113651,Intel Core i5,0,256
ACER,Notebook,8,Nvidia,Linux,2.4,41505.12,No,No,No,141.21199808219862,Intel Core i7,10,0
ASUS,Gaming,16,Nvidia,Windows,2.9,74964.95999999999,No,No,No,127.33567457123111,Intel Core i7,10,256
HP,Notebook,4,Intel,No OS,2.1,18594.72,No,No,No,141.21199808219862,Intel Core i3,500,0
LENOVO,Notebook,8,Intel,No OS,2.2,29250.72,No,No,No,141.21199808219862,Intel Core i5,0,256
HUAWEI,Ultrabook,8,Intel,Windows,1.05,79866.72,Yes,No,No,199.69207064108247,Intel Core i7,0,512
DELL,Ultrabook,8,AMD,Windows,1.4,49650.5664,Yes,No,No,165.6321180513006,Intel Core i7,0,256
LENOVO,Notebook,8,Nvidia,No OS,2.8,31381.92,No,No,No,106.11306214269258,Intel Core i5,10,0
HP,Notebook,8,Nvidia,Windows,1.63,54931.68,No,No,No,157.3505121487356,Intel Core i7,0,256
DELL,Ultrabook,8,Intel,Windows,1.6,61218.72,No,No,No,157.3505121487356,Intel Core i5,0,256
DELL,2 in 1 Convertible,16,Intel,Windows,1.62,68145.12,No,Yes,No,165.6321180513006,Intel Core i7,0,512
DELL,Notebook,8,AMD,Linux,2.2,36089.208,No,No,No,141.21199808219862,Intel Core i5,0,256
LENOVO,2 in 1 Convertible,8,Intel,Windows,1.74,47898.72,Yes,No,No,157.3505121487356,Intel Core i5,0,256
TOSHIBA,Ultrabook,8,Intel,Windows,1.2,72620.64,No,No,No,165.6321180513006,Intel Core i7,0,256
HP,Notebook,8,Intel,Windows,2.1,42304.32,No,No,No,141.21199808219862,Intel Core i5,10,0
DELL,Gaming,16,Nvidia,Windows,4.42,130873.7952,Yes,No,No,127.33567457123111,Intel Core i7,10,256
ACER,Notebook,8,Nvidia,Windows,2.2,44328.96,No,No,No,141.21199808219862,Intel Core i7,0,256
DELL,Notebook,16,AMD,Windows,2.3,45768.0528,No,Yes,No,141.21199808219862,Intel Core i7,10,0
ASUS,Notebook,8,Nvidia,Windows,2.0,40972.32,No,No,No,141.21199808219862,Intel Core i5,0,256
ASUS,Notebook,8,Nvidia,Windows,2.69,47472.48,No,No,No,127.33567457123111,Intel Core i5,500,256
HP,Notebook,8,AMD,Windows,1.9,67612.31999999999,No,No,No,141.21199808219862,Intel Core i7,10,0
ASUS,Notebook,4,Intel,Windows,2.37,21258.1872,No,No,No,100.45466986113651,Intel Core i3,10,0
HP,Notebook,4,AMD,Windows,2.1,17582.399999999998,No,No,No,100.45466986113651,AMD,500,0
LENOVO,Gaming,16,Nvidia,Windows,3.2,79866.72,Yes,No,No,141.21199808219862,Intel Core i7,10,256
DELL,Notebook,8,Intel,Windows,1.6,45767.52,No,No,No,157.3505121487356,Intel Core i5,0,256
ACER,2 in 1 Convertible,8,Intel,Windows,1.6,36709.92,Yes,Yes,No,165.6321180513006,Intel Core i5,0,256
DELL,Notebook,16,AMD,Linux,2.36,47898.72,No,No,No,141.21199808219862,Intel Core i7,0,256
ACER,Notebook,4,Intel,Linux,2.1,20779.2,No,No,No,100.45466986113651,Intel Core i3,10,0
ASUS,Notebook,4,AMD,Windows,2.2,30636.0,No,No,No,141.21199808219862,AMD,10,128
ASUS,Gaming,32,Nvidia,Windows,4.7,207259.2,No,No,No,127.33567457123111,Intel Core i7,10,512
ACER,Gaming,8,Nvidia,Windows,2.5,45074.88,Yes,No,No,141.21199808219862,Intel Core i5,0,256
LENOVO,Notebook,8,Intel,Windows,2.2,31381.92,No,No,No,100.45466986113651,Intel Core i3,0,128
ASUS,Notebook,8,Nvidia,Windows,2.1,61005.6,No,No,No,127.33567457123111,Intel Core i7,10,128
ASUS,Notebook,8,Nvidia,No OS,2.69,47365.92,No,No,No,127.33567457123111,Intel Core i7,10,128
DELL,Gaming,8,Nvidia,Windows,2.56,46833.12,No,No,No,141.21199808219862,Intel Core i5,0,256
LENOVO,2 in 1 Convertible,8,Intel,Windows,1.38,57489.12,Yes,Yes,No,158.48253022174808,Intel Core i7,0,256
